Core,X,Y,Tiefe mm,Y,Moving average 5 mm
KLOP17-01,89.1,-24.631,0,-24.631,
KLOP17-01,89.4,4.078,0.3,4.078,
KLOP17-01,89.7,37.832,0.6,37.832,
KLOP17-01,90,71.308,0.9,71.308,
KLOP17-01,90.3,103.828,1.2,103.828,
KLOP17-01,90.6,130.899,1.5,130.899,
KLOP17-01,90.9,148.584,1.8,148.584,
KLOP17-01,91.2,154.592,2.1,154.592,
KLOP17-01,91.5,157.28,2.4,157.28,114.0638889
KLOP17-01,91.8,162.946,2.7,162.946,123.2527222
KLOP17-01,92.1,165.934,3,165.934,131.3127222
KLOP17-01,92.4,159.78,3.3,159.78,137.8656111
KLOP17-01,92.7,147.56,3.6,147.56,142.796
KLOP17-01,93,133.123,3.9,133.123,145.9204444
KLOP17-01,93.3,122.79,4.2,122.79,147.2721667
KLOP17-01,93.6,120.458,4.5,120.458,147.3408333
KLOP17-01,93.9,124.739,4.8,124.739,146.9797222
KLOP17-01,94.2,132.05,5.1,132.05,146.5903889
KLOP17-01,94.5,140.768,5.4,140.768,146.0735
KLOP17-01,94.8,149.158,5.7,149.158,145.4605
KLOP17-01,95.1,155.784,6,155.784,145.0673889
KLOP17-01,95.4,160.055,6.3,160.055,145.0418333
KLOP17-01,95.7,160.068,6.6,160.068,145.3666667
KLOP17-01,96,155.23,6.9,155.23,145.7956667
KLOP17-01,96.3,149.82,7.2,149.82,146.1462222
KLOP17-01,96.6,148.092,7.5,148.092,146.325
KLOP17-01,96.9,150.272,7.8,150.272,146.3061667
KLOP17-01,97.2,153.642,8.1,153.642,146.0528889
KLOP17-01,97.5,154.9,8.4,154.9,145.6907778
KLOP17-01,97.8,152.704,8.7,152.704,145.3109444
KLOP17-01,98.1,147.1,9,147.1,144.9076667
KLOP17-01,98.4,138.97,9.3,138.97,144.4727778
KLOP17-01,98.7,130.512,9.6,130.512,144.0621111
KLOP17-01,99,126.768,9.9,126.768,143.5670556
KLOP17-01,99.3,127.957,10.2,127.957,142.6907222
KLOP17-01,99.6,131.711,10.5,131.711,141.1293333
KLOP17-01,99.9,136.209,10.8,136.209,138.9423333
KLOP17-01,100.2,142.64,11.1,142.64,136.6618333
KLOP17-01,100.5,148.947,11.4,148.947,134.9665
KLOP17-01,100.8,152.796,11.7,152.796,134.1856111
KLOP17-01,101.1,152.24,12,152.24,134.3017778
KLOP17-01,101.4,147.838,12.3,147.838,135.0661111
KLOP17-01,101.7,140.909,12.6,140.909,135.9826111
KLOP17-01,102,132.318,12.9,132.318,136.7208889
KLOP17-01,102.3,122.167,13.2,122.167,137.0673889
KLOP17-01,102.6,114.276,13.5,114.276,136.9165556
KLOP17-01,102.9,113.851,13.8,113.851,136.3247778
KLOP17-01,103.2,122.188,14.1,122.188,135.2515
KLOP17-01,103.5,133.044,14.4,133.044,133.7490556
KLOP17-01,103.8,141.061,14.7,141.061,132.3649444
KLOP17-01,104.1,144.27,15,144.27,131.5285556
KLOP17-01,104.4,143.265,15.3,143.265,131.3110556
KLOP17-01,104.7,141.246,15.6,141.246,131.5439444
KLOP17-01,105,137.948,15.9,137.948,132.0441667
KLOP17-01,105.3,133.494,16.2,133.494,132.7286667
KLOP17-01,105.6,131.988,16.5,131.988,133.3701667
KLOP17-01,105.9,129.628,16.8,129.628,133.6783889
KLOP17-01,106.2,125.752,17.1,125.752,133.6551667
KLOP17-01,106.5,127.326,17.4,127.326,133.2888333
KLOP17-01,106.8,132.783,17.7,132.783,132.6366667
KLOP17-01,107.1,136.994,18,136.994,131.7696111
KLOP17-01,107.4,136.51,18.3,136.51,130.7273889
KLOP17-01,107.7,131.171,18.6,131.171,129.5959444
KLOP17-01,108,126.597,18.9,126.597,128.5897778
KLOP17-01,108.3,125.398,19.2,125.398,127.7206111
KLOP17-01,108.6,127.736,19.5,127.736,127.1424444
KLOP17-01,108.9,132.626,19.8,132.626,127.0206111
KLOP17-01,109.2,134.467,20.1,134.467,127.0136667
KLOP17-01,109.5,132.531,20.4,132.531,126.8278889
KLOP17-01,109.8,127.658,20.7,127.658,126.4091667
KLOP17-01,110.1,122.486,21,122.486,125.8863333
KLOP17-01,110.4,117.582,21.3,117.582,125.4916667
KLOP17-01,110.7,115.383,21.6,115.383,125.1488333
KLOP17-01,111,116.343,21.9,116.343,124.5986667
KLOP17-01,111.3,119.221,22.2,119.221,123.553
KLOP17-01,111.6,123.559,22.5,123.559,121.8667222
KLOP17-01,111.9,127.201,22.8,127.201,119.8403889
KLOP17-01,112.2,129.439,23.1,129.439,117.9081667
KLOP17-01,112.5,129.457,23.4,129.457,116.4228333
KLOP17-01,112.8,127.099,23.7,127.099,115.3756111
KLOP17-01,113.1,124.067,24,124.067,114.8046667
KLOP17-01,113.4,120.426,24.3,120.426,114.7406111
KLOP17-01,113.7,115.495,24.6,115.495,115.0635556
KLOP17-01,114,108.914,24.9,108.914,115.6262778
KLOP17-01,114.3,102.273,25.2,102.273,116.3385556
KLOP17-01,114.6,97.993,25.5,97.993,117.1286111
KLOP17-01,114.9,97.751,25.8,97.751,117.9065
KLOP17-01,115.2,100.922,26.1,100.922,118.7563889
KLOP17-01,115.5,103.636,26.4,103.636,119.6847222
KLOP17-01,115.8,107.305,26.7,107.305,120.4005
KLOP17-01,116.1,114.23,27,114.23,120.626
KLOP17-01,116.4,122.156,27.3,122.156,120.4087222
KLOP17-01,116.7,129.35,27.6,129.35,120.0792222
KLOP17-01,117,136.38,27.9,136.38,119.7073889
KLOP17-01,117.3,141.422,28.2,141.422,119.05
